index, elapse_time, susp_fl, susp_fr, susp_rl, susp_rr, acc_x, acc_y, acc_z, rot_x, rot_y, rot_z
222,34241,38.21893,46.59847,52.21891,27.43792,-0.48243,2.29245,9.81383,0.00879,0.07781,0.03304
223,34392,38.21893,46.59847,52.16781,27.43792,-0.42856,2.24935,9.74679,0.00986,0.07954,0.03411
224,34543,38.21893,46.59847,52.16781,27.43792,-0.4561,2.28407,9.73123,0.00813,0.07887,0.03224
225,34694,38.21893,46.59847,52.16781,27.43792,-0.40941,2.27689,9.74919,0.00826,0.07701,0.03317
226,34848,38.21893,46.59847,52.16781,27.43792,-0.46088,2.30562,9.74081,0.00839,0.07887,0.03331
227,34999,38.21893,46.54738,52.21891,27.43792,-0.43694,2.27808,9.82102,0.00733,0.0806,0.03264
228,35150,38.21893,46.59847,52.16781,27.43792,-0.93374,2.28766,9.72764,0.00613,0.07354,0.02931
229,35301,38.21893,46.59847,52.16781,27.48901,-0.54109,2.2697,9.86172,0.01013,0.07861,0.03251
230,35452,38.21893,46.59847,52.16781,27.43792,-0.50039,2.25654,9.77313,0.00773,0.07541,0.03317
231,35615,38.21893,46.59847,52.16781,27.43792,-0.39385,2.27329,9.70969,0.00786,0.07608,0.03344
232,35766,38.21893,46.59847,52.16781,27.43792,-0.41899,2.26252,9.77074,0.00879,0.07821,0.03317
233,35917,38.21893,46.59847,52.16781,27.43792,-0.40462,2.32118,9.74081,0.00866,0.07674,0.03238
234,36068,38.21893,46.59847,52.16781,27.43792,-0.39385,2.26252,9.71806,0.01053,0.07741,0.03357
235,36219,38.21893,46.59847,52.16781,27.43792,-0.46088,2.2302,9.78151,0.00839,0.07901,0.03224
236,36374,38.21893,46.59847,52.16781,27.43792,-0.40821,2.28287,9.73482,0.00973,0.07887,0.03317
237,36525,38.21893,46.59847,52.16781,27.43792,-0.4561,2.27449,9.78989,0.00893,0.07754,0.03264
238,36677,38.21893,46.59847,52.16781,27.43792,-0.45729,2.24696,9.75877,0.00866,0.0806,0.03144
239,36829,38.21893,46.59847,52.16781,27.48901,-0.48123,2.21703,9.76834,0.00666,0.0818,0.03437
240,36984,38.21893,46.59847,52.16781,27.43792,-0.41899,2.27808,9.7851,0.00826,0.07941,0.03291
241,37136,38.21893,46.59847,52.16781,27.43792,-0.42497,2.2709,9.73961,0.01013,0.07874,0.03357
